timestamp,room,student,appliance,energy_kwh,hour,day,weekday
2024-01-01 00:00:00,Room-1,Student_A,AC,1.5,0,1,Monday
2024-01-01 00:00:00,Room-1,Student_A,Fan,0.048,0,1,Monday
2024-01-01 00:00:00,Room-1,Student_A,Light,0.01,0,1,Monday
2024-01-01 00:00:00,Room-1,Student_A,Laptop,0.056,0,1,Monday
2024-01-01 00:00:00,Room-1,Student_A,Refrigerator,0.22,0,1,Monday
2024-01-01 00:00:00,Room-1,Student_A,Heater,1.031,0,1,Monday
2024-01-01 00:00:00,Room-2,Student_B,AC,1.866,0,1,Monday
2024-01-01 00:00:00,Room-2,Student_B,Fan,0.023,0,1,Monday
2024-01-01 00:00:00,Room-2,Student_B,Light,0.013,0,1,Monday
2024-01-01 00:00:00,Room-2,Student_B,Laptop,0.093,0,1,Monday
2024-01-01 00:00:00,Room-2,Student_B,Refrigerator,0.222,0,1,Monday
2024-01-01 00:00:00,Room-2,Student_B,Heater,1.438,0,1,Monday
2024-01-01 00:00:00,Room-3,Student_C,AC,1.565,0,1,Monday
2024-01-01 00:00:00,Room-3,Student_C,Fan,0.024,0,1,Monday
2024-01-01 00:00:00,Room-3,Student_C,Light,0.02,0,1,Monday
2024-01-01 00:00:00,Room-3,Student_C,Laptop,0.111,0,1,Monday
2024-01-01 00:00:00,Room-3,Student_C,Refrigerator,0.113,0,1,Monday
2024-01-01 00:00:00,Room-3,Student_C,Heater,2.448,0,1,Monday
2024-01-01 00:00:00,Room-4,Student_D,AC,1.444,0,1,Monday
2024-01-01 00:00:00,Room-4,Student_D,Fan,0.046,0,1,Monday
2024-01-01 00:00:00,Room-4,Student_D,Light,0.009,0,1,Monday
2024-01-01 00:00:00,Room-4,Student_D,Laptop,0.053,0,1,Monday
2024-01-01 00:00:00,Room-4,Student_D,Refrigerator,0.152,0,1,Monday
2024-01-01 00:00:00,Room-4,Student_D,Heater,1.468,0,1,Monday
2024-01-01 01:00:00,Room-1,Student_A,AC,1.637,1,1,Monday
2024-01-01 01:00:00,Room-1,Student_A,Fan,0.059,1,1,Monday
2024-01-01 01:00:00,Room-1,Student_A,Light,0.029,1,1,Monday
2024-01-01 01:00:00,Room-1,Student_A,Laptop,0.11,1,1,Monday
2024-01-01 01:00:00,Room-1,Student_A,Refrigerator,0.118,1,1,Monday
2024-01-01 01:00:00,Room-1,Student_A,Heater,1.068,1,1,Monday
2024-01-01 01:00:00,Room-2,Student_B,AC,1.511,1,1,Monday
2024-01-01 01:00:00,Room-2,Student_B,Fan,0.052,1,1,Monday
2024-01-01 01:00:00,Room-2,Student_B,Light,0.013,1,1,Monday
2024-01-01 01:00:00,Room-2,Student_B,Laptop,0.064,1,1,Monday
2024-01-01 01:00:00,Room-2,Student_B,Refrigerator,0.115,1,1,Monday
2024-01-01 01:00:00,Room-2,Student_B,Heater,2.158,1,1,Monday
2024-01-01 01:00:00,Room-3,Student_C,AC,1.204,1,1,Monday
2024-01-01 01:00:00,Room-3,Student_C,Fan,0.047,1,1,Monday
2024-01-01 01:00:00,Room-3,Student_C,Light,0.025,1,1,Monday
2024-01-01 01:00:00,Room-3,Student_C,Laptop,0.086,1,1,Monday
2024-01-01 01:00:00,Room-3,Student_C,Refrigerator,0.273,1,1,Monday
2024-01-01 01:00:00,Room-3,Student_C,Heater,1.496,1,1,Monday
2024-01-01 01:00:00,Room-4,Student_D,AC,1.449,1,1,Monday
2024-01-01 01:00:00,Room-4,Student_D,Fan,0.048,1,1,Monday
2024-01-01 01:00:00,Room-4,Student_D,Light,0.027,1,1,Monday
2024-01-01 01:00:00,Room-4,Student_D,Laptop,0.062,1,1,Monday
2024-01-01 01:00:00,Room-4,Student_D,Refrigerator,0.252,1,1,Monday
2024-01-01 01:00:00,Room-4,Student_D,Heater,2.156,1,1,Monday
2024-01-01 02:00:00,Room-1,Student_A,AC,1.618,2,1,Monday
2024-01-01 02:00:00,Room-1,Student_A,Fan,0.016,2,1,Monday
2024-01-01 02:00:00,Room-1,Student_A,Light,0.007,2,1,Monday
2024-01-01 02:00:00,Room-1,Student_A,Laptop,0.081,2,1,Monday
2024-01-01 02:00:00,Room-1,Student_A,Refrigerator,0.282,2,1,Monday
2024-01-01 02:00:00,Room-1,Student_A,Heater,1.616,2,1,Monday
2024-01-01 02:00:00,Room-2,Student_B,AC,1.383,2,1,Monday
2024-01-01 02:00:00,Room-2,Student_B,Fan,0.028,2,1,Monday
