timestamp,room,student,appliance,energy_kwh,hour,day,weekday
2024-01-01 00:00:00,Room-1,Student_A,AC,1.5,0,1,Monday
2024-01-01 00:00:00,Room-1,Student_A,Heater,1.031,0,1,Monday
2024-01-01 00:00:00,Room-2,Student_B,AC,1.866,0,1,Monday
2024-01-01 00:00:00,Room-2,Student_B,Heater,1.438,0,1,Monday
2024-01-01 00:00:00,Room-3,Student_C,AC,1.565,0,1,Monday
2024-01-01 00:00:00,Room-3,Student_C,Heater,2.448,0,1,Monday
2024-01-01 00:00:00,Room-4,Student_D,AC,1.444,0,1,Monday
2024-01-01 00:00:00,Room-4,Student_D,Heater,1.468,0,1,Monday
2024-01-01 01:00:00,Room-1,Student_A,AC,1.637,1,1,Monday
2024-01-01 01:00:00,Room-1,Student_A,Heater,1.068,1,1,Monday
2024-01-01 01:00:00,Room-2,Student_B,AC,1.511,1,1,Monday
2024-01-01 01:00:00,Room-2,Student_B,Heater,2.158,1,1,Monday
2024-01-01 01:00:00,Room-3,Student_C,AC,1.204,1,1,Monday
2024-01-01 01:00:00,Room-3,Student_C,Heater,1.496,1,1,Monday
2024-01-01 01:00:00,Room-4,Student_D,AC,1.449,1,1,Monday
2024-01-01 01:00:00,Room-4,Student_D,Heater,2.156,1,1,Monday
2024-01-01 02:00:00,Room-1,Student_A,AC,1.618,2,1,Monday
2024-01-01 02:00:00,Room-1,Student_A,Heater,1.616,2,1,Monday
2024-01-01 02:00:00,Room-2,Student_B,AC,1.383,2,1,Monday
2024-01-01 02:00:00,Room-2,Student_B,Heater,2.339,2,1,Monday
2024-01-01 02:00:00,Room-3,Student_C,AC,1.846,2,1,Monday
2024-01-01 02:00:00,Room-3,Student_C,Heater,1.626,2,1,Monday
2024-01-01 02:00:00,Room-4,Student_D,AC,1.296,2,1,Monday
2024-01-01 02:00:00,Room-4,Student_D,Heater,1.746,2,1,Monday
2024-01-01 03:00:00,Room-1,Student_A,AC,1.428,3,1,Monday
2024-01-01 03:00:00,Room-1,Student_A,Heater,2.478,3,1,Monday
2024-01-01 03:00:00,Room-2,Student_B,AC,1.738,3,1,Monday
2024-01-01 03:00:00,Room-2,Student_B,Heater,1.481,3,1,Monday
2024-01-01 03:00:00,Room-3,Student_C,AC,1.233,3,1,Monday
2024-01-01 03:00:00,Room-3,Student_C,Heater,2.405,3,1,Monday
2024-01-01 03:00:00,Room-4,Student_D,AC,1.473,3,1,Monday
2024-01-01 03:00:00,Room-4,Student_D,Heater,1.14,3,1,Monday
2024-01-01 04:00:00,Room-1,Student_A,AC,1.92,4,1,Monday
2024-01-01 04:00:00,Room-1,Student_A,Heater,1.242,4,1,Monday
2024-01-01 04:00:00,Room-2,Student_B,AC,5.055,4,1,Monday
2024-01-01 04:00:00,Room-2,Student_B,Heater,2.068,4,1,Monday
2024-01-01 04:00:00,Room-3,Student_C,AC,1.46,4,1,Monday
2024-01-01 04:00:00,Room-3,Student_C,Heater,2.46,4,1,Monday
2024-01-01 04:00:00,Room-4,Student_D,AC,1.914,4,1,Monday
2024-01-01 04:00:00,Room-4,Student_D,Heater,1.968,4,1,Monday
2024-01-01 05:00:00,Room-1,Student_A,AC,1.952,5,1,Monday
2024-01-01 05:00:00,Room-1,Student_A,Heater,1.442,5,1,Monday
2024-01-01 05:00:00,Room-2,Student_B,AC,1.881,5,1,Monday
2024-01-01 05:00:00,Room-2,Student_B,Heater,1.21,5,1,Monday
2024-01-01 05:00:00,Room-3,Student_C,AC,1.902,5,1,Monday
2024-01-01 05:00:00,Room-3,Student_C,Heater,1.767,5,1,Monday
2024-01-01 05:00:00,Room-4,Student_D,AC,1.839,5,1,Monday
2024-01-01 05:00:00,Room-4,Student_D,Heater,1.698,5,1,Monday
2024-01-01 22:00:00,Room-1,Student_A,AC,3.265,22,1,Monday
2024-01-01 22:00:00,Room-1,Student_A,Heater,2.716,22,1,Monday
2024-01-01 22:00:00,Room-2,Student_B,AC,2.671,22,1,Monday
2024-01-01 22:00:00,Room-2,Student_B,Heater,2.655,22,1,Monday
2024-01-01 22:00:00,Room-3,Student_C,AC,3.292,22,1,Monday
2024-01-01 22:00:00,Room-3,Student_C,Heater,4.828,22,1,Monday
2024-01-01 22:00:00,Room-4,Student_D,AC,3.035,22,1,Monday
2024-01-01 22:00:00,Room-4,Student_D,Heater,4.651,22,1,Monday
2024-01-01 23:00:00,Room-1,Student_A,AC,3.593,23,1,Monday
2024-01-01 23:00:00,Room-1,Student_A,Heater,3.779,23,1,Monday
2024-01-01 23:00:00,Room-2,Student_B,AC,2.292,23,1,Monday
2024-01-01 23:00:00,Room-2,Student_B,Heater,2.261,23,1,Monday
2024-01-01 23:00:00,Room-3,Student_C,AC,2.697,23,1,Monday
2024-01-01 23:00:00,Room-3,Student_C,Heater,3.442,23,1,Monday
2024-01-01 23:00:00,Room-4,Student_D,AC,3.348,23,1,Monday
2024-01-01 23:00:00,Room-4,Student_D,Heater,4.125,23,1,Monday
2024-01-02 00:00:00,Room-1,Student_A,AC,1.758,0,2,Tuesday
2024-01-02 00:00:00,Room-1,Student_A,Heater,1.503,0,2,Tuesday
2024-01-02 00:00:00,Room-2,Student_B,AC,1.329,0,2,Tuesday
2024-01-02 00:00:00,Room-2,Student_B,Heater,1.951,0,2,Tuesday
2024-01-02 00:00:00,Room-3,Student_C,AC,1.824,0,2,Tuesday
2024-01-02 00:00:00,Room-3,Student_C,Heater,2.032,0,2,Tuesday
2024-01-02 00:00:00,Room-4,Student_D,AC,1.441,0,2,Tuesday
2024-01-02 00:00:00,Room-4,Student_D,Heater,2.124,0,2,Tuesday
2024-01-02 01:00:00,Room-1,Student_A,AC,1.807,1,2,Tuesday
2024-01-02 01:00:00,Room-1,Student_A,Heater,1.639,1,2,Tuesday
2024-01-02 01:00:00,Room-2,Student_B,AC,1.331,1,2,Tuesday
2024-01-02 01:00:00,Room-2,Student_B,Heater,1.649,1,2,Tuesday
2024-01-02 01:00:00,Room-3,Student_C,AC,1.536,1,2,Tuesday
2024-01-02 01:00:00,Room-3,Student_C,Heater,1.978,1,2,Tuesday
2024-01-02 01:00:00,Room-4,Student_D,AC,1.891,1,2,Tuesday
