timestamp,room,student,appliance,energy_kwh
2024-01-01 00:00:00,Room-1,Student_A,AC,1.5
2024-01-01 00:00:00,Room-1,Student_A,Fan,0.048
2024-01-01 00:00:00,Room-1,Student_A,Light,0.01
2024-01-01 00:00:00,Room-1,Student_A,Laptop,0.056
2024-01-01 00:00:00,Room-1,Student_A,Refrigerator,0.22
2024-01-01 00:00:00,Room-1,Student_A,Heater,1.031
2024-01-01 00:00:00,Room-2,Student_B,AC,1.866
2024-01-01 00:00:00,Room-2,Student_B,Fan,0.023
2024-01-01 00:00:00,Room-2,Student_B,Light,0.013
2024-01-01 00:00:00,Room-2,Student_B,Laptop,0.093
2024-01-01 00:00:00,Room-2,Student_B,Refrigerator,0.222
2024-01-01 00:00:00,Room-2,Student_B,Heater,1.438
2024-01-01 00:00:00,Room-3,Student_C,AC,1.565
2024-01-01 00:00:00,Room-3,Student_C,Fan,0.024
2024-01-01 00:00:00,Room-3,Student_C,Light,0.02
2024-01-01 00:00:00,Room-3,Student_C,Laptop,0.111
2024-01-01 00:00:00,Room-3,Student_C,Refrigerator,0.113
2024-01-01 00:00:00,Room-3,Student_C,Heater,2.448
2024-01-01 00:00:00,Room-4,Student_D,AC,1.444
2024-01-01 00:00:00,Room-4,Student_D,Fan,0.046
2024-01-01 00:00:00,Room-4,Student_D,Light,0.009
2024-01-01 00:00:00,Room-4,Student_D,Laptop,0.053
2024-01-01 00:00:00,Room-4,Student_D,Refrigerator,0.152
2024-01-01 00:00:00,Room-4,Student_D,Heater,1.468
2024-01-01 01:00:00,Room-1,Student_A,AC,1.637
2024-01-01 01:00:00,Room-1,Student_A,Fan,0.059
2024-01-01 01:00:00,Room-1,Student_A,Light,0.029
2024-01-01 01:00:00,Room-1,Student_A,Laptop,0.11
2024-01-01 01:00:00,Room-1,Student_A,Refrigerator,0.118
2024-01-01 01:00:00,Room-1,Student_A,Heater,1.068
2024-01-01 01:00:00,Room-2,Student_B,AC,1.511
2024-01-01 01:00:00,Room-2,Student_B,Fan,0.052
2024-01-01 01:00:00,Room-2,Student_B,Light,0.013
2024-01-01 01:00:00,Room-2,Student_B,Laptop,0.064
2024-01-01 01:00:00,Room-2,Student_B,Refrigerator,0.115
2024-01-01 01:00:00,Room-2,Student_B,Heater,2.158
2024-01-01 01:00:00,Room-3,Student_C,AC,1.204
2024-01-01 01:00:00,Room-3,Student_C,Fan,0.047
2024-01-01 01:00:00,Room-3,Student_C,Light,0.025
2024-01-01 01:00:00,Room-3,Student_C,Laptop,0.086
2024-01-01 01:00:00,Room-3,Student_C,Refrigerator,0.273
2024-01-01 01:00:00,Room-3,Student_C,Heater,1.496
2024-01-01 01:00:00,Room-4,Student_D,AC,1.449
2024-01-01 01:00:00,Room-4,Student_D,Fan,0.048
2024-01-01 01:00:00,Room-4,Student_D,Light,0.027
2024-01-01 01:00:00,Room-4,Student_D,Laptop,0.062
2024-01-01 01:00:00,Room-4,Student_D,Refrigerator,0.252
2024-01-01 01:00:00,Room-4,Student_D,Heater,2.156
2024-01-01 02:00:00,Room-1,Student_A,AC,1.618
2024-01-01 02:00:00,Room-1,Student_A,Fan,0.016
2024-01-01 02:00:00,Room-1,Student_A,Light,0.007
2024-01-01 02:00:00,Room-1,Student_A,Laptop,0.081
2024-01-01 02:00:00,Room-1,Student_A,Refrigerator,0.282
2024-01-01 02:00:00,Room-1,Student_A,Heater,1.616
2024-01-01 02:00:00,Room-2,Student_B,AC,1.383
2024-01-01 02:00:00,Room-2,Student_B,Fan,0.028
2024-01-01 02:00:00,Room-2,Student_B,Light,0.028
2024-01-01 02:00:00,Room-2,Student_B,Laptop,0.113
2024-01-01 02:00:00,Room-2,Student_B,Refrigerator,0.261
2024-01-01 02:00:00,Room-2,Student_B,Heater,2.339
2024-01-01 02:00:00,Room-3,Student_C,AC,1.846
2024-01-01 02:00:00,Room-3,Student_C,Fan,0.029
2024-01-01 02:00:00,Room-3,Student_C,Light,0.011
2024-01-01 02:00:00,Room-3,Student_C,Laptop,0.132
2024-01-01 02:00:00,Room-3,Student_C,Refrigerator,0.101
2024-01-01 02:00:00,Room-3,Student_C,Heater,1.626
2024-01-01 02:00:00,Room-4,Student_D,AC,1.296
2024-01-01 02:00:00,Room-4,Student_D,Fan,0.057
2024-01-01 02:00:00,Room-4,Student_D,Light,0.018
2024-01-01 02:00:00,Room-4,Student_D,Laptop,0.086
2024-01-01 02:00:00,Room-4,Student_D,Refrigerator,0.292
2024-01-01 02:00:00,Room-4,Student_D,Heater,1.746
2024-01-01 03:00:00,Room-1,Student_A,AC,1.428
2024-01-01 03:00:00,Room-1,Student_A,Fan,0.042
2024-01-01 03:00:00,Room-1,Student_A,Light,0.007
2024-01-01 03:00:00,Room-1,Student_A,Laptop,0.141
2024-01-01 03:00:00,Room-1,Student_A,Refrigerator,0.129
2024-01-01 03:00:00,Room-1,Student_A,Heater,2.478
2024-01-01 03:00:00,Room-2,Student_B,AC,1.738
2024-01-01 03:00:00,Room-2,Student_B,Fan,0.026
2024-01-01 03:00:00,Room-2,Student_B,Light,0.015
2024-01-01 03:00:00,Room-2,Student_B,Laptop,0.113
2024-01-01 03:00:00,Room-2,Student_B,Refrigerator,0.118
2024-01-01 03:00:00,Room-2,Student_B,Heater,1.481
2024-01-01 03:00:00,Room-3,Student_C,AC,1.233
2024-01-01 03:00:00,Room-3,Student_C,Fan,0.045
