timestamp,room,student,appliance,energy_kwh,predicted_energy,wastage_flag,efficiency_score
1/1/2024 0:00,Room-1,Student_A,AC,1.5,1.5,TRUE,0.662
1/1/2024 0:00,Room-1,Student_A,Fan,0.048,0.048,FALSE,17.241
1/1/2024 0:00,Room-1,Student_A,Light,0.01,0.01,FALSE,50
1/1/2024 0:00,Room-1,Student_A,Laptop,0.056,0.056,FALSE,15.152
1/1/2024 0:00,Room-1,Student_A,Refrigerator,0.22,0.22,FALSE,4.348
1/1/2024 0:00,Room-1,Student_A,Heater,1.031,1.031,TRUE,0.961
1/1/2024 0:00,Room-2,Student_B,AC,1.866,1.866,TRUE,0.533
1/1/2024 0:00,Room-2,Student_B,Fan,0.023,0.023,FALSE,30.303
1/1/2024 0:00,Room-2,Student_B,Light,0.013,0.013,FALSE,43.478
1/1/2024 0:00,Room-2,Student_B,Laptop,0.093,0.093,FALSE,9.709
1/1/2024 0:00,Room-2,Student_B,Refrigerator,0.222,0.222,FALSE,4.31
1/1/2024 0:00,Room-2,Student_B,Heater,1.438,1.438,TRUE,0.691
1/1/2024 0:00,Room-3,Student_C,AC,1.565,1.565,TRUE,0.635
1/1/2024 0:00,Room-3,Student_C,Fan,0.024,0.024,FALSE,29.412
1/1/2024 0:00,Room-3,Student_C,Light,0.02,0.02,FALSE,33.333
1/1/2024 0:00,Room-3,Student_C,Laptop,0.111,0.111,FALSE,8.264
1/1/2024 0:00,Room-3,Student_C,Refrigerator,0.113,0.113,FALSE,8.13
1/1/2024 0:00,Room-3,Student_C,Heater,2.448,2.448,TRUE,0.407
1/1/2024 0:00,Room-4,Student_D,AC,1.444,1.444,TRUE,0.688
1/1/2024 0:00,Room-4,Student_D,Fan,0.046,0.046,FALSE,17.857
1/1/2024 0:00,Room-4,Student_D,Light,0.009,0.009,FALSE,52.632
1/1/2024 0:00,Room-4,Student_D,Laptop,0.053,0.053,FALSE,15.873
1/1/2024 0:00,Room-4,Student_D,Refrigerator,0.152,0.152,FALSE,6.173
1/1/2024 0:00,Room-4,Student_D,Heater,1.468,1.468,TRUE,0.677
1/1/2024 1:00,Room-1,Student_A,AC,1.637,1.637,TRUE,0.607
1/1/2024 1:00,Room-1,Student_A,Fan,0.059,0.059,FALSE,14.493
1/1/2024 1:00,Room-1,Student_A,Light,0.029,0.029,FALSE,25.641
1/1/2024 1:00,Room-1,Student_A,Laptop,0.11,0.11,FALSE,8.333
1/1/2024 1:00,Room-1,Student_A,Refrigerator,0.118,0.118,FALSE,7.812
1/1/2024 1:00,Room-1,Student_A,Heater,1.068,1.068,TRUE,0.928
1/1/2024 1:00,Room-2,Student_B,AC,1.511,1.511,TRUE,0.657
1/1/2024 1:00,Room-2,Student_B,Fan,0.052,0.052,FALSE,16.129
1/1/2024 1:00,Room-2,Student_B,Light,0.013,0.013,FALSE,43.478
1/1/2024 1:00,Room-2,Student_B,Laptop,0.064,0.064,FALSE,13.514
1/1/2024 1:00,Room-2,Student_B,Refrigerator,0.115,0.115,FALSE,8
1/1/2024 1:00,Room-2,Student_B,Heater,2.158,2.158,TRUE,0.461
1/1/2024 1:00,Room-3,Student_C,AC,1.204,1.204,TRUE,0.824
1/1/2024 1:00,Room-3,Student_C,Fan,0.047,0.047,FALSE,17.544
1/1/2024 1:00,Room-3,Student_C,Light,0.025,0.025,FALSE,28.571
